p_id,age,female,ethnicity,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10,e_dep_1,e_dep_2,e_dep_3,e_dep_4,e_dep_5,e_dep_6,e_dep_7,e_dep_8,e_dep_9,e_dep_10,e_fear_1,e_fear_2,e_fear_3,e_fear_4,e_fear_5,e_fear_6,e_fear_7,e_fear_8,e_fear_9,e_fear_10,e_sen_1,e_sen_2,e_sen_3,e_sen_4,e_sen_5,e_sen_6,e_sen_7,e_sen_8,e_sen_9,e_sen_10
103,21,0,8,52,31,6,6,6,7,5,1,4,3,6,5,5,5,6,1,3,2,4,6,1,7,2,4,2,2,2,3,6,5,6,5,2,4,2,1,1,6,7,2,6,5
183,20,0,8,34,38,5,3,5,4,4,3,4,4,4,4,4,4,5,3,4,5,5,3,4,4,4,4,3,4,5,4,3,3,5,5,4,4,3,3,4,3,3,4,4,4
177,19,0,1,48,32,5,5,4,2,1,6,6,6,7,5,5,4,5,2,2,4,6,2,5,6,1,2,2,1,2,5,6,5,6,6,3,3,1,4,3,7,2,4,4,4
133,19,0,1,48,30,5,5,3,4,2,3,6,5,4,4,4,5,4,3,3,3,3,3,4,6,3,4,6,3,2,2,5,3,4,4,4,4,2,3,4,7,7,4,3,4
171,18,0,2,40,40,4,4,5,5,3,6,4,6,5,5,5,5,3,3,4,3,4,3,5,5,3,4,3,3,3,4,3,5,4,5,3,3,2,4,3,2,3,4,5,4
167,20,0,8,49,36,4,4,3,5,1,4,4,3,5,4,2,6,5,2,4,3,3,5,5,6,1,2,2,1,1,5,5,4,6,6,5,4,1,7,7,7,6,1,1,4
164,18,0,2,36,40,6,6,7,1,5,1,1,1,6,2,4,5,7,5,5,5,7,1,5,7,5,2,3,2,1,7,6,7,7,7,7,6,5,4,2,2,1,7,3,3
184,19,0,8,38,36,4,6,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
147,19,0,1,58,45,6,5,6,7,5,3,2,4,5,5,3,5,3,1,3,1,6,3,5,7,7,5,6,3,1,4,2,3,6,5,7,7,3,7,6,7,2,1,1,3
157,21,0,1,35,19,7,7,7,5,7,1,2,3,1,4,5,3,3,2,4,3,2,5,1,7,4,3,7,7,7,1,1,1,1,2,2,4,2,6,6,6,3,1,1,2
186,19,0,8,38,26,7,7,6,5,3,1,3,3,5,2,5,5,6,5,3,5,6,6,6,7,4,3,6,4,7,1,3,2,4,5,6,3,1,6,3,6,3,4,3,3
138,19,0,1,40,32,6,4,5,2,4,1,6,2,3,2,7,6,6,4,4,5,5,4,5,7,6,2,5,6,1,1,5,3,5,5,2,2,2,6,4,7,2,2,1,1
109,18,0,2,36,38,6,7,7,6,6,1,3,6,6,1,7,5,7,1,3,1,1,5,7,6,1,5,1,2,5,1,2,3,3,5,7,5,4,7,1,4,7,1,2,2
107,20,0,2,34,18,5,5,6,5,6,3,2,2,2,1,5,5,6,6,5,3,6,5,2,5,4,6,6,5,5,3,2,2,1,4,4,4,5,5,4,1,3,3,2,2
104,19,0,1,53,52,3,4,3,4,1,3,7,5,5,3,1,3,1,1,5,1,1,3,1,3,4,3,3,3,6,3,5,3,5,5,5,6,4,5,5,3,3,1,1,3
110,19,0,1,54,56,3,2,3,2,1,6,6,6,5,6,1,6,2,1,2,4,6,2,2,6,1,1,1,1,1,7,7,6,7,7,5,4,2,5,5,6,3,2,3,5
146,19,0,1,44,42,6,2,2,6,3,5,2,5,5,3,3,4,5,2,1,2,5,1,2,5,3,5,3,2,6,2,5,1,2,3,5,2,5,5,3,3,5,5,2,6
114,19,0,1,40,59,6,5,7,6,3,1,2,1,6,2,5,2,2,4,5,5,5,6,5,2,2,2,1,2,1,6,6,6,7,6,6,5,6,6,6,2,2,1,2,2
102,18,0,1,38,12,3,6,6,6,2,2,2,5,5,6,3,4,5,4,5,3,7,5,1,5,5,2,2,2,6,3,5,1,3,4,6,6,4,6,4,5,6,6,2,5
129,20,0,1,46,39,1,6,4,1,1,2,3,7,6,3,6,1,5,1,2,2,2,4,3,7,2,1,6,1,1,1,3,3,1,6,5,1,1,6,3,7,7,5,1,5
142,18,0,1,44,40,2,2,1,3,2,6,5,4,4,5,2,2,3,4,4,3,5,3,3,5,5,2,6,3,2,3,4,3,2,3,3,4,1,3,3,7,7,4,5,7
168,19,0,1,38,56,5,7,5,6,1,2,2,7,3,2,5,3,2,1,2,2,5,2,4,6,1,3,3,1,1,5,5,5,3,6,6,6,1,5,3,7,6,2,3,6
119,19,0,1,46,51,6,6,2,6,2,3,3,2,6,3,2,5,2,1,1,5,5,1,2,7,2,3,2,2,1,3,4,1,4,5,3,3,2,1,3,6,2,6,3,6
165,19,0,1,38,40,7,2,3,1,3,6,3,2,3,1,4,2,3,1,3,2,5,4,2,5,1,3,1,5,6,5,5,4,3,5,2,2,2,2,2,2,5,2,3,5
169,18,0,5,40,32,5,7,7,7,6,1,5,3,2,1,7,7,7,5,6,3,7,3,3,7,2,5,7,3,4,3,3,5,1,6,3,3,4,4,1,4,2,6,2,2
117,18,0,5,37,40,1,3,5,5,2,4,4,4,4,3,5,3,3,5,2,2,4,3,2,5,3,3,4,3,4,4,4,4,3,5,5,2,4,6,4,4,6,5,3,4
130,19,0,1,44,50,7,6,6,6,4,2,4,3,4,1,6,2,6,3,5,2,4,5,2,6,1,5,5,2,3,5,5,4,5,6,4,4,3,5,5,3,3,2,3,4
137,23,0,5,56,48,6,5,5,4,5,2,5,5,5,2,6,4,4,4,5,3,5,5,4,4,4,5,6,3,1,3,4,3,3,3,6,6,5,6,2,4,2,2,3,3
139,18,0,8,32,25,5,7,4,5,1,2,2,5,6,1,6,4,4,3,2,6,7,2,3,5,1,1,1,1,1,5,7,5,6,6,7,5,1,6,6,7,7,1,1,2
143,19,0,1,43,45,3,3,5,5,3,5,4,4,4,6,6,4,6,3,3,2,5,3,5,7,4,3,5,4,3,4,6,4,5,6,6,5,1,6,6,7,3,1,2,3
153,18,0,1,38,32,7,7,6,4,3,2,4,6,6,1,6,7,7,1,2,1,2,3,5,7,5,3,7,3,1,1,3,1,1,4,6,1,5,7,6,3,2,3,2,5
161,19,0,2,34,34,6,6,6,5,4,2,2,4,6,3,7,5,6,5,5,2,2,2,5,7,4,5,5,1,3,3,5,3,3,4,5,5,1,5,6,7,3,3,2,2
178,21,0,5,35,25,5,6,3,5,3,5,6,4,4,3,2,5,3,3,5,3,5,3,4,6,3,3,5,4,4,2,4,2,4,5,5,6,4,4,5,4,5,4,2,4
182,19,0,5,35,28,1,3,6,3,4,7,1,1,4,5,1,5,4,6,7,4,5,6,4,5,3,4,1,3,7,7,6,6,5,5,7,4,5,3,3,7,3,4,4,3
101,21,0,2,57,67,3,4,3,3,3,4,6,2,5,4,4,2,4,3,3,2,4,4,4,6,2,4,6,2,2,4,4,4,6,5,4,4,1,6,5,7,6,1,4,2
144,18,0,5,51,34,3,6,3,6,1,6,6,6,6,3,2,2,5,5,5,2,1,6,5,7,3,2,5,2,2,3,5,3,4,6,6,3,1,6,6,7,2,5,2,7
162,20,0,1,51,36,3,4,2,2,2,4,5,4,6,3,2,4,3,2,3,4,4,2,1,5,3,3,4,2,1,5,4,5,6,6,5,5,3,5,5,5,3,2,2,3
136,21,0,1,50,48,4,3,3,3,2,6,7,5,5,4,2,3,3,3,2,2,4,3,2,6,1,2,3,1,2,4,6,3,6,5,2,1,1,3,2,7,7,6,7,5
116,19,0,5,47,39,7,2,4,1,1,7,4,7,4,7,7,3,1,1,2,1,7,2,1,7,1,2,4,1,1,7,4,1,7,7,7,7,3,7,5,1,7,7,7,4
127,20,0,1,61,57,6,5,2,1,3,2,3,2,6,5,1,1,3,6,4,5,4,5,1,7,1,2,1,1,1,7,7,7,7,7,4,1,3,5,5,2,4,2,1,4
140,19,0,1,52,62,2,4,2,4,2,5,5,5,7,2,2,2,4,1,3,1,2,2,2,5,1,2,2,2,1,3,6,5,6,6,5,2,1,5,4,7,6,2,3,6
122,18,0,1,42,38,7,3,1,7,2,5,7,4,6,4,4,5,5,1,3,2,7,2,3,4,1,2,3,3,2,1,5,1,3,4,6,6,2,5,5,2,5,3,2,3
166,19,0,8,56,32,6,3,5,4,5,5,4,5,4,5,5,5,5,3,3,5,5,4,5,6,3,5,3,3,2,3,5,3,5,5,4,3,3,4,5,6,5,3,3,3
120,18,0,2,48,49,6,5,6,4,5,4,1,4,4,3,6,6,6,4,6,5,5,6,6,6,2,4,5,4,4,3,4,4,4,5,6,6,2,5,6,6,5,3,2,2
106,19,0,2,51,69,7,7,1,1,1,1,1,7,7,1,1,6,1,1,1,1,6,1,1,3,1,1,1,1,1,7,7,7,7,7,3,2,1,3,1,7,3,6,1,1
131,18,0,1,50,46,2,4,1,5,2,5,5,4,7,5,4,2,5,5,3,3,5,3,5,5,1,3,5,5,6,5,6,4,6,4,2,5,1,5,5,7,2,2,3,5
112,19,0,1,52,51,6,6,6,4,3,3,5,3,4,3,4,4,5,3,3,5,3,5,5,6,2,4,5,4,3,3,5,4,4,5,5,5,2,6,5,6,5,3,3,2
181,19,0,5,49,41,2,5,5,6,3,2,3,5,4,3,4,4,5,3,3,4,5,5,7,7,4,3,3,3,3,4,4,5,4,6,5,4,2,4,3,5,5,4,4,3
145,18,0,5,50,57,6,6,5,7,1,3,6,5,6,2,5,2,1,1,7,1,4,7,2,5,1,2,3,2,1,7,7,7,4,6,7,6,1,7,5,7,1,1,1,3
118,19,0,3,46,32,3,2,1,3,1,4,7,6,7,6,1,2,1,1,2,2,1,1,3,6,1,1,1,1,4,4,6,5,3,5,3,1,1,4,2,7,1,6,3,4
160,23,0,1,54,46,1,2,1,1,1,5,3,6,6,5,2,1,1,1,1,4,2,1,1,6,1,1,2,1,1,5,6,2,7,5,6,2,1,6,6,6,3,2,2,3
159,21,0,7,48,44,7,7,1,4,1,1,3,1,6,5,7,7,7,1,1,1,1,4,7,7,1,4,5,1,1,2,7,4,7,5,7,1,1,4,2,7,7,1,6,7
126,19,0,1,58,42,2,3,2,2,1,4,5,6,6,5,3,2,3,2,2,3,4,4,2,6,2,2,2,2,1,6,5,5,6,5,7,3,2,6,5,6,3,2,3,6
115,19,0,1,39,19,5,3,3,3,2,4,7,3,5,3,5,5,6,3,3,2,2,3,6,7,3,3,5,2,2,2,5,3,5,5,6,4,1,6,4,6,6,2,3,3
158,21,0,5,31,34,4,5,5,7,3,2,4,5,5,2,6,5,6,2,6,6,4,7,4,7,3,3,7,3,3,7,5,6,5,5,6,5,1,4,4,6,7,3,1,3
125,22,0,5,30,32,3,5,6,2,5,1,1,4,5,4,4,2,5,2,4,1,4,6,5,5,2,2,4,1,6,1,5,1,6,4,4,4,2,6,5,6,4,3,2,3
172,18,0,5,57,66,4,4,4,2,2,5,2,2,4,5,2,4,2,2,1,2,2,4,4,6,1,5,6,3,1,3,5,3,4,6,4,4,1,6,4,7,1,4,4,2
123,19,0,1,51,54,6,5,4,5,2,5,3,3,5,4,5,5,5,3,4,5,7,5,3,5,2,2,3,2,1,4,5,4,6,5,5,4,2,6,4,5,3,4,2,4
141,18,0,1,48,34,6,6,7,6,4,6,4,4,5,1,4,4,3,2,2,6,6,2,2,6,2,5,7,5,1,6,3,5,6,7,7,6,1,6,7,6,3,1,1,2
170,26,0,1,39,50,6,6,5,6,2,2,6,4,5,5,4,3,5,1,2,1,5,6,1,7,2,2,4,2,1,6,6,5,6,6,6,3,3,7,6,3,5,3,2,5
105,18,0,1,38,42,5,5,2,3,2,5,5,5,6,3,2,1,2,2,4,4,2,5,4,5,1,3,3,2,3,3,4,3,4,5,5,4,2,5,3,6,3,4,3,5
180,19,0,1,50,38,3,3,3,2,1,6,4,4,6,6,5,5,5,2,5,4,5,5,5,5,1,2,4,1,1,7,6,5,5,6,6,3,4,5,4,3,3,3,3,4
155,18,0,5,40,42,6,7,7,7,5,1,3,4,5,1,1,5,2,5,1,4,7,1,5,7,4,5,1,4,1,7,5,5,3,7,4,3,7,4,3,1,5,1,1,1
179,24,0,1,51,20,5,5,6,6,3,3,3,6,4,6,5,6,5,4,6,2,5,6,6,6,3,3,4,3,4,4,3,4,4,5,7,3,1,4,2,7,6,5,4,2
151,20,0,1,46,32,2,1,2,3,2,6,6,6,7,5,3,3,2,3,3,3,2,3,6,6,1,2,1,1,2,6,6,6,4,6,6,1,2,6,5,7,7,2,1,6
100,19,0,1,58,60,4,6,5,2,2,4,6,5,6,2,6,4,5,2,3,3,6,5,6,7,1,2,1,2,1,7,6,7,6,6,5,4,1,5,4,7,5,3,4,6
111,18,0,1,50,73,1,3,1,1,1,2,1,1,7,4,1,2,5,1,1,3,1,5,3,4,1,1,1,1,1,7,7,7,7,7,4,1,2,5,2,2,1,1,1,1
121,22,0,1,55,52,5,5,4,5,2,3,7,1,5,2,4,1,2,2,1,3,6,5,4,5,1,5,5,2,1,3,5,4,4,3,4,6,2,7,4,6,4,1,1,3
152,21,0,1,42,42,1,2,4,5,3,2,7,2,6,1,2,4,4,2,2,5,6,5,6,7,1,2,7,4,3,3,3,6,4,5,4,2,1,4,1,7,1,6,1,3
156,20,0,8,55,64,6,5,5,5,4,2,4,5,3,1,3,2,1,1,1,2,1,2,3,5,1,2,1,1,1,7,7,6,7,7,6,2,2,5,5,5,2,1,2,3
128,30,0,1,50,38,3,4,3,4,2,4,2,6,5,6,4,4,3,3,5,3,4,5,2,5,1,2,2,1,1,4,6,6,7,5,6,2,1,7,1,7,3,5,4,3
135,25,0,2,30,20,5,5,5,5,4,5,4,3,7,3,3,4,3,2,4,7,5,5,5,5,3,4,5,4,3,5,5,5,4,5,7,4,5,4,4,3,4,5,3,1
132,19,0,1,54,58,1,5,2,1,1,1,2,6,7,2,5,6,1,2,2,2,6,3,7,7,2,2,2,7,1,6,7,6,7,7,6,5,1,4,5,7,6,2,6,5
108,19,0,1,64,48,5,7,7,7,5,2,7,1,6,7,7,6,6,4,7,5,7,5,7,7,1,6,7,7,1,6,7,7,7,7,6,2,6,7,4,6,6,7,7,6
134,18,0,8,52,64,1,6,5,5,1,4,3,6,7,7,2,4,3,2,3,4,7,5,1,7,2,3,4,1,3,5,7,6,5,7,7,6,5,7,7,6,5,1,3,6
124,18,0,5,48,45,7,1,6,7,1,2,2,1,4,1,6,2,4,1,7,1,7,4,6,7,1,1,1,3,1,5,6,6,6,6,7,7,1,6,2,1,1,1,1,6
154,18,0,2,49,53,1,1,1,2,2,6,7,6,6,7,3,3,5,1,2,2,7,4,4,7,2,1,2,1,1,5,5,6,5,7,5,3,1,6,6,7,5,4,7,1
163,19,0,1,52,47,5,7,5,4,2,1,7,3,4,4,5,5,5,3,4,4,7,5,6,6,2,3,5,2,4,3,3,3,4,4,5,6,2,5,4,7,1,3,1,3
187,18,0,8,55,48,7,7,5,6,2,6,5,4,5,5,4,4,5,2,2,2,5,3,5,6,3,4,5,4,1,5,2,6,6,6,5,6,2,6,5,6,5,1,2,4
176,19,0,2,45,33,3,7,7,6,1,1,3,3,7,3,6,5,5,2,6,7,7,2,7,7,2,7,2,5,1,3,3,3,2,6,7,7,4,7,1,1,1,1,1,3
149,19,0,5,38,26,6,7,3,7,4,3,3,3,5,2,5,4,7,5,3,4,7,6,7,7,2,5,6,2,1,5,6,7,7,7,7,5,4,5,5,4,2,2,3,2
174,21,0,1,48,30,3,6,3,1,1,2,4,1,7,3,2,1,1,1,3,3,3,5,5,7,1,2,1,2,4,2,7,3,3,7,1,5,1,4,2,7,1,1,2,7
173,19,0,1,45,40,6,5,5,1,2,2,4,2,6,4,2,2,1,1,1,6,1,6,2,6,1,3,4,4,4,4,5,3,2,5,4,6,2,5,6,3,3,1,2,3
113,20,0,1,43,59,6,5,2,4,2,3,7,3,6,5,5,4,5,2,5,5,5,5,6,6,1,3,6,2,1,6,6,6,7,7,5,6,2,6,5,6,3,2,2,1
150,18,0,1,58,NA,2,1,1,1,1,7,3,2,6,6,7,2,1,1,1,4,5,6,7,5,1,2,1,1,1,7,7,7,7,7,3,2,5,5,3,2,2,3,5,5
